id;deglat;minlat;seclat;deglong;minlong;seclong;utmzone;utmeast;utmnorth;utmsrid;decimlat;decimlong;lat_decimal;lon_decimal
2018-00001;56.0;26.0;9.9;-111.0;12.0;23.0;;;;;;;56.43608333333333;-110.7936111111111
2018-00013;56.0;25.0;56.9;-111.0;6.0;29.3;;;;;;;56.432472222222216;-110.89186111111111
2018-00028;56.0;26.0;10.7;-111.0;12.0;23.3;;;;;;;56.43630555555555;-110.79352777777777
2018-01600;55.0;22.0;22.0;-111.0;10.0;23.0;;;;;;;55.37277777777778;-110.82694444444444
2018-01761;55.0;22.0;14.0;-111.0;10.0;36.0;;;;;;;55.370555555555555;-110.82333333333332
2018-01796;55.0;22.0;19.0;-111.0;9.0;7.0;;;;;;;55.371944444444445;-110.84805555555555
2018-02168;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02263;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02413;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02474;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02492;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02575;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02580;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02584;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02586;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02599;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02636;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02662;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02685;;;;;;;11.0;416523.93;6290248.47;32611.0;;;56.74873508334838;-118.36500541091274
2018-02704;;;;;;;11.0;418898.93;6290584.47;32611.0;;;56.75217186040865;-118.32628758813307
2018-02729;;;;;;;11.0;414782.85;6290924.47;32611.0;;;56.754491517817286;-118.39369103915698
2018-02841;;;;;;;11.0;416674.0;6298080.0;32611.0;;;56.81909888343865;-118.36510452651146
2018-03181;;;;;;;11.0;418736.19;6299446.63;32611.0;;;56.831737839109714;-118.3317663007587
2018-03182;;;;;;;11.0;417063.0;6290604.93;32611.0;;;56.75203273522063;-118.35630869264486
2018-03183;;;;;;;11.0;414054.5;6291206.83;32611.0;;;56.75689376252369;-118.40569359488592
2018-03184;;;;;;;11.0;418948.66;6290272.97;32611.0;;;56.74938278603534;-118.3253760395382
2018-03185;;;;;;;11.0;418948.66;6290272.97;32611.0;;;56.74938278603534;-118.3253760395382
2018-03186;;;;;;;11.0;418948.66;6290272.97;32611.0;;;56.74938278603534;-118.3253760395382
2018-04409;54.0;34.0;59.0;-110.0;28.0;15.0;;;;;;;54.58305555555556;-109.52916666666667
2018-04628;55.0;6.0;38.12;-118.0;45.0;38.68;;;;;;;55.11058888888889;-117.23925555555556
2018-04884;55.0;0.0;46.0;-112.0;0.0;17.0;;;;;;;55.01277777777778;-111.99527777777777
2018-05286;;;;;;;;;;;;;;
2018-05322;;;;;;;;;;;;;;
2018-05335;;;;;;;;;;;;;;
2018-05531;55.0;6.0;35.41;118.0;45.0;40.15;;;;;;;55.109836111111115;118.76115277777778
2021-35095;;;;;;;;;;;;;;
2021-35209;;;;;;;;;;;;;;
2021-35263;;;;;;;;;;;;;;
2021-35476;;;;;;;;;;;;;;
2022-15131;;;;;;;;;;;;;;
2022-15257;;;;;;;;;;;;;;
2022-15339;;;;;;;;;;;;;;
2022-15396;;;;;;;;;;;;;;
2023-02012;;;;;;;;;;;;;;
2023-02288;;;;;;;;;;;;;;
2018-00940;56.0;25.0;56.5;-111.0;6.0;29.1;;;;;;;56.432361111111106;-110.89191666666667
2018-00972;56.0;22.0;17.8;-111.0;0.0;37.2;;;;;;;56.371611111111115;-110.98966666666666
2018-01036;56.0;25.0;55.5;-111.0;6.0;27.9;;;;;;;56.43208333333333;-110.89225
2018-01038;56.0;25.0;56.5;-111.0;6.0;29.1;;;;;;;56.432361111111106;-110.89191666666667
2018-01043;56.0;26.0;0.1;-111.0;3.0;56.7;;;;;;;56.43336111111111;-110.93425
2018-01103;56.0;22.0;1.4;-111.0;35.0;2.7;;;;;;;56.36705555555556;-110.41591666666667
2018-01442;;;;;;;;;;;;;;
2018-02150;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02852;;;;;;;11.0;417020.15;6294322.98;32611.0;;;56.78541803524056;-118.35821470302287
2018-02881;;;;;;;11.0;417589.77;6295760.48;32611.0;;;56.798429782794564;-118.34935766955923
2018-03031;;;;;;;11.0;416264.11;6294333.48;32611.0;;;56.785377033258335;-118.37058901387559
2018-03187;;;;;;;11.0;419167.33;6296457.75;32611.0;;;56.80496881357788;-118.32375581253423
2018-03188;;;;;;;11.0;417162.67;6296758.0;32611.0;;;56.80731296347398;-118.35667222534862
2018-03189;;;;;;;11.0;416654.33;6294663.08;32611.0;;;56.78840724206023;-118.36431141237283
2018-03190;;;;;;;11.0;416013.14;6295295.64;32611.0;;;56.793973203400625;-118.37501172173288
2018-03191;;;;;;;11.0;416013.14;6295295.64;32611.0;;;56.793973203400625;-118.37501172173288
2018-03192;;;;;;;;;;;;;;
2018-04843;55.0;6.0;35.05;-118.0;45.0;38.05;;;;;;;55.10973611111111;-117.23943055555556
2018-04885;54.0;59.0;16.0;-112.0;1.0;25.0;;;;;;;54.98777777777778;-111.97638888888889
2018-05081;54.0;33.0;8.0;-111.0;14.0;51.0;;;;;;;54.55222222222222;-110.7525
2018-05336;;;;;;;;;;;;;;
2021-35477;;;;;;;;;;;;;;
2018-03193;;;;;;;11.0;416731.25;6292891.5;32611.0;;;56.77250997406932;-118.3624758605979
2018-03194;;;;;;;11.0;413454.5;6291764.5;32611.0;;;56.761791270341696;-118.41569206049756
2018-03195;;;;;;;11.0;419071.17;6295705.92;32611.0;;;56.798199638806025;-118.32509185561956
2018-03196;;;;;;;11.0;417232.82;6294231.98;32611.0;;;56.784638577651805;-118.35470536368156
2018-03197;;;;;;;11.0;416647.91;6294602.48;32611.0;;;56.78786182955652;-118.36439670862737
2018-02863;;;;;;;11.0;414880.36;6290359.97;32611.0;;;56.74943944243697;-118.3919092961117
2018-03134;;;;;;;11.0;413403.17;6291423.97;32611.0;;;56.75872340835967;-118.41641625706305
2018-03198;;;;;;;11.0;419167.33;6296457.75;32611.0;;;56.80496881357788;-118.32375581253423
2018-03199;;;;;;;11.0;414405.56;6290489.06;32611.0;;;56.75051192946678;-118.39971391184834
2018-04614;54.0;34.0;59.0;-110.0;28.0;15.0;;;;;;;54.58305555555556;-109.52916666666667
2018-04886;54.0;58.0;17.0;-112.0;0.0;21.0;;;;;;;54.97138888888889;-111.99416666666667
2018-05082;54.0;40.0;49.0;-111.0;15.0;3.0;;;;;;;54.680277777777775;-110.74916666666667
2021-35479;;;;;;;;;;;;;;
2018-00012;56.0;25.0;56.9;-111.0;6.0;29.3;;;;;;;56.432472222222216;-110.89186111111111
2018-00027;56.0;26.0;10.7;-111.0;12.0;23.3;;;;;;;56.43630555555555;-110.79352777777777
2018-00224;56.0;23.0;21.0;-111.0;2.0;10.4;;;;;;;56.38916666666667;-110.96377777777778
2018-01601;55.0;22.0;22.0;-111.0;10.0;23.0;;;;;;;55.37277777777778;-110.82694444444444
2018-01661;55.0;22.0;32.0;-111.0;10.0;23.0;;;;;;;55.37555555555556;-110.82694444444444
2018-02167;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02473;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02501;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02515;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02538;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02546;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02563;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02569;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02574;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02585;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02683;;;;;;;11.0;419054.93;6290247.97;32611.0;;;56.74917670489368;-118.32363090922077
2018-02686;;;;;;;11.0;416523.93;6290248.47;32611.0;;;56.74873508334838;-118.36500541091274
2018-02739;;;;;;;11.0;415244.0;6290703.0;32611.0;;;56.75258649220445;-118.38607835960664
2018-03200;;;;;;;11.0;418261.78;6296531.83;32611.0;;;56.80547599932245;-118.33860469913607
2018-03201;;;;;;;11.0;416057.83;6295781.83;32611.0;;;56.79834783062125;-118.37444005306844
2018-03202;;;;;;;11.0;417798.48;6290483.21;32611.0;;;56.75106973856566;-118.3442457511664
2018-03203;;;;;;;11.0;418485.87;6290488.46;32611.0;;;56.75123753998849;-118.3330099590435
2018-03204;;;;;;;11.0;418941.74;6290481.75;32611.0;;;56.75125672943316;-118.32555520898504
2018-03205;;;;;;;11.0;418852.35;6290327.88;32611.0;;;56.749859210526154;-118.32696784012651
2018-03206;;;;;;;11.0;418852.35;6290327.88;32611.0;;;56.749859210526154;-118.32696784012651
2018-03207;;;;;;;11.0;418852.35;6290327.88;32611.0;;;56.749859210526154;-118.32696784012651
2018-03208;;;;;;;;;;;;;;
2018-04368;54.0;34.0;59.0;-110.0;28.0;15.0;;;;;;;54.58305555555556;-109.52916666666667
2018-04396;54.0;34.0;59.0;-110.0;28.0;15.0;;;;;;;54.58305555555556;-109.52916666666667
2018-04427;54.0;34.0;58.0;-110.0;28.0;30.0;;;;;;;54.58277777777778;-109.52499999999999
2018-04674;55.0;6.0;34.79;-118.0;45.0;39.26;;;;;;;55.10966388888889;-117.23909444444445
2018-04887;54.0;57.0;38.0;-112.0;0.0;30.0;;;;;;;54.96055555555556;-111.99166666666666
2018-05185;;;;;;;;;;;;;;
2018-05202;;;;;;;;;;;;;;
2018-05228;;;;;;;;;;;;;;
2018-05337;;;;;;;;;;;;;;
2018-05530;55.0;6.0;35.41;118.0;45.0;40.15;;;;;;;55.109836111111115;118.76115277777778
2021-35056;;;;;;;;;;;;;;
2021-35210;;;;;;;;;;;;;;
2021-35262;;;;;;;;;;;;;;
2021-35478;;;;;;;;;;;;;;
2022-15001;;;;;;;;;;;;;;
2022-15354;;;;;;;;;;;;;;
2022-15384;;;;;;;;;;;;;;
2022-15397;;;;;;;;;;;;;;
2023-02013;;;;;;;;;;;;;;
2023-02289;;;;;;;;;;;;;;
2021-35330;;;;;;;;;;;;;;
2018-03209;;;;;;;11.0;418395.33;6299752.5;32611.0;;;56.83442524436754;-118.33744858908855
2018-02379;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02402;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-03210;;;;;;;11.0;418366.83;6290443.42;32611.0;;;56.750812196162826;-118.33494168578417
2018-03211;;;;;;;11.0;416688.83;6295087.17;32611.0;;;56.79222227131602;-118.36388509492137
2018-01564;;;;;;;;;;;;;;
2018-01567;;;;;;;;;;;;;;
2022-15030;;;;;;;;;;;;;;
2018-02186;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02373;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02374;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-03212;;;;;;;11.0;416820.5;6298734.43;32611.0;;;56.82500267116391;-118.36291865999746
2018-03213;;;;;;;11.0;413267.83;6290484.83;32611.0;;;56.75026375168736;-118.41831120206305
2018-03214;;;;;;;11.0;413267.83;6290484.83;32611.0;;;56.75026375168736;-118.41831120206305
2018-05050;55.0;29.0;12.0;-113.0;26.0;47.0;;;;;;;55.486666666666665;-112.55361111111111
2021-35015;55.0;6.0;37.88;118.0;45.0;37.3;;;;;;;55.11052222222222;118.76036111111111
2018-01566;;;;;;;;;;;;;;
2018-01535;;;;;;;;;;;;;;
2018-01538;;;;;;;;;;;;;;
2018-01540;;;;;;;;;;;;;;
2018-01542;;;;;;;;;;;;;;
2018-01547;;;;;;;;;;;;;;
2018-01553;;;;;;;;;;;;;;
2018-02396;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02397;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02398;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-03215;;;;;;;11.0;416873.67;6290332.28;32611.0;;;56.74955027012726;-118.35931545731908
2018-03216;;;;;;;11.0;418948.5;6296710.42;32611.0;;;56.80720007669699;-118.32741860386842
2018-03217;;;;;;;11.0;419262.38;6296016.44;32611.0;;;56.801021738526266;-118.32206017011329
2018-03218;;;;;;;11.0;414752.37;6290926.47;32611.0;;;56.754503909183335;-118.39419002521406
2018-03219;;;;;;;11.0;415640.37;6291262.47;32611.0;;;56.75768309315665;-118.37978260749777
2018-03220;;;;;;;11.0;413673.8;6290467.53;32611.0;;;56.750183696566644;-118.41166892874364
2018-03221;;;;;;;11.0;418408.28;6290764.97;32611.0;;;56.753707421753155;-118.33436646699485
2018-03222;;;;;;;;;;;;;;
2018-01569;;;;;;;;;;;;;;
2018-03223;;;;;;;11.0;416122.42;6298388.33;32611.0;;;56.82176891654106;-118.37423934443979
2018-03224;;;;;;;11.0;413267.83;6290484.83;32611.0;;;56.75026375168736;-118.41831120206305
2021-35467;;;;;;;;;;;;;;
2018-00885;56.0;38.0;58.4;-111.0;18.0;50.7;;;;;;;56.64955555555556;-110.68591666666667
2018-00927;56.0;23.0;54.0;-111.0;35.0;3.7;;;;;;;56.39833333333333;-110.41563888888889
2018-00965;56.0;26.0;9.6;-111.0;12.0;22.3;;;;;;;56.436;-110.79380555555555
2018-01556;;;;;;;;;;;;;;
2018-01559;;;;;;;;;;;;;;
2018-01560;;;;;;;;;;;;;;
2018-01561;;;;;;;;;;;;;;
2018-01572;;;;;;;;;;;;;;
2018-01575;;;;;;;;;;;;;;
2018-01576;;;;;;;;;;;;;;
2018-03225;;;;;;;11.0;419186.75;6290137.25;32611.0;;;56.74820513592124;-118.321441095096
2018-03226;;;;;;;11.0;417115.33;6290296.0;32611.0;;;56.74926743488865;-118.35535325506098
2018-03227;;;;;;;11.0;414405.56;6290489.06;32611.0;;;56.75051192946678;-118.39971391184834
2018-03228;;;;;;;11.0;417292.87;6294561.68;32611.0;;;56.78761037518295;-118.3538294623233
2018-04612;54.0;34.0;59.0;-110.0;28.0;15.0;;;;;;;54.58305555555556;-109.52916666666667
2018-05049;55.0;6.0;34.79;-118.0;45.0;39.26;;;;;;;55.10966388888889;-117.23909444444445
2018-05083;54.0;38.0;21.0;-111.0;18.0;9.0;;;;;;;54.63916666666667;-110.6975
2021-35553;;;;;;;;;;;;;;
2022-15135;;;;;;;;;;;;;;
2022-15391;;;;;;;;;;;;;;
2018-01532;;;;;;;;;;;;;;
2018-01557;;;;;;;;;;;;;;
2018-01558;;;;;;;;;;;;;;
2018-01562;;;;;;;;;;;;;;
2018-01565;;;;;;;;;;;;;;
2018-01568;;;;;;;;;;;;;;
2018-01573;;;;;;;;;;;;;;
2018-01571;;;;;;;;;;;;;;
2018-01577;;;;;;;;;;;;;;
2018-01578;;;;;;;;;;;;;;
2018-01579;;;;;;;;;;;;;;
2018-01583;;;;;;;;;;;;;;
2018-03229;;;;;;;11.0;416873.67;6290332.28;32611.0;;;56.74955027012726;-118.35931545731908
2018-03230;;;;;;;11.0;414765.07;6290081.5;32611.0;;;56.74691739490034;-118.39370131371416
2018-04881;;;;;;;11.0;417475.0;6295634.0;32611.0;;;56.79727349975382;-118.35119542314825
2018-01534;;;;;;;;;;;;;;
2018-01537;;;;;;;;;;;;;;
2018-01539;;;;;;;;;;;;;;
2018-01541;;;;;;;;;;;;;;
2018-03231;;;;;;;11.0;416820.5;6298734.43;32611.0;;;56.82500267116391;-118.36291865999746
2018-03232;;;;;;;11.0;417126.83;6294565.25;32611.0;;;56.78761292280243;-118.35654765863198
2018-03233;;;;;;;11.0;415522.69;6290813.97;32611.0;;;56.753633705802734;-118.38155882886456
2018-03234;;;;;;;11.0;418371.03;6290553.61;32611.0;;;56.75180259273903;-118.3349081299283
2018-05051;55.0;29.0;11.0;-113.0;26.0;31.0;;;;;;;55.48638888888889;-112.55805555555555
2022-15353;;;;;;;;;;;;;;
2018-01544;;;;;;;;;;;;;;
2023-02422;;;;;;;;;;;;;;
2018-03235;;;;;;;;;;;;;;
2018-04593;54.0;34.0;59.0;-110.0;28.0;15.0;;;;;;;54.58305555555556;-109.52916666666667
2018-05501;;;;;;;;;;;;;;
2018-01441;;;;;;;;;;;;;;
2018-02290;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-02322;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-03236;;;;;;;11.0;415734.0;6298457.73;32611.0;;;56.82232200176913;-118.38062400567698
2018-03237;;;;;;;11.0;419167.33;6296457.75;32611.0;;;56.80496881357788;-118.32375581253423
2018-03238;;;;;;;11.0;414644.67;6293057.83;32611.0;;;56.77362629526404;-118.3966614294365
