id;deglat;minlat;seclat;deglong;minlong;seclong;utmzone;utmeast;utmnorth;utmsrid;decimlat;decimlong
2023-02012;;;;;;;;;;;;
2023-02288;;;;;;;;;;;;
2018-00940;56;25;56.5;-111;6;29.1;;;;;;
2018-00972;56;22;17.8;-111;0;37.2;;;;;;
2018-01036;56;25;55.5;-111;6;27.9;;;;;;
2018-01038;56;25;56.5;-111;6;29.1;;;;;;
2018-01043;56;26;0.1;-111;3;56.7;;;;;;
2018-01103;56;22;1.4;-111;35;2.7;;;;;;
2018-01442;;;;;;;;;;;;
2018-02150;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02852;;;;;;;11;417020.15;6294322.98;32611;;
2018-02881;;;;;;;11;417589.77;6295760.48;32611;;
2018-03031;;;;;;;11;416264.11;6294333.48;32611;;
2018-03187;;;;;;;11;419167.33;6296457.75;32611;;
2018-03188;;;;;;;11;417162.67;6296758;32611;;
2018-03189;;;;;;;11;416654.33;6294663.08;32611;;
2018-03190;;;;;;;11;416013.14;6295295.64;32611;;
2018-03191;;;;;;;11;416013.14;6295295.64;32611;;
2018-03192;;;;;;;;;;;;
2018-04843;55;6;35.05;-118;45;38.05;;;;;;
2018-04885;54;59;16;-112;1;25;;;;;;
2018-05081;54;33;8;-111;14;51;;;;;;
2018-05336;;;;;;;;;;;;
2021-35477;;;;;;;;;;;;
2018-03193;;;;;;;11;416731.25;6292891.5;32611;;
2018-03194;;;;;;;11;413454.5;6291764.5;32611;;
2018-03195;;;;;;;11;419071.17;6295705.92;32611;;
2018-03196;;;;;;;11;417232.82;6294231.98;32611;;
2018-03197;;;;;;;11;416647.91;6294602.48;32611;;
2018-02863;;;;;;;11;414880.36;6290359.97;32611;;
2018-03134;;;;;;;11;413403.17;6291423.97;32611;;
2018-03198;;;;;;;11;419167.33;6296457.75;32611;;
2018-03199;;;;;;;11;414405.56;6290489.06;32611;;
2018-04614;54;34;59;-110;28;15;;;;;;
2018-04886;54;58;17;-112;0;21;;;;;;
2018-05082;54;40;49;-111;15;3;;;;;;
2021-35479;;;;;;;;;;;;
2018-00012;56;25;56.9;-111;6;29.3;;;;;;
2018-00027;56;26;10.7;-111;12;23.3;;;;;;
2018-00224;56;23;21;-111;2;10.4;;;;;;
2018-01601;55;22;22;-111;10;23;;;;;;
2018-01661;55;22;32;-111;10;23;;;;;;
2018-02167;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02473;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02501;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02515;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02538;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02546;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02563;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02569;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02574;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02585;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02683;;;;;;;11;419054.93;6290247.97;32611;;
2018-02686;;;;;;;11;416523.93;6290248.47;32611;;
2018-02739;;;;;;;11;415244;6290703;32611;;
2018-03200;;;;;;;11;418261.78;6296531.83;32611;;
2018-03201;;;;;;;11;416057.83;6295781.83;32611;;
2018-03202;;;;;;;11;417798.48;6290483.21;32611;;
2018-03203;;;;;;;11;418485.87;6290488.46;32611;;
2018-03204;;;;;;;11;418941.74;6290481.75;32611;;
2018-03205;;;;;;;11;418852.35;6290327.88;32611;;
2018-03206;;;;;;;11;418852.35;6290327.88;32611;;
2018-03207;;;;;;;11;418852.35;6290327.88;32611;;
2018-03208;;;;;;;;;;;;
2018-04368;54;34;59;-110;28;15;;;;;;
2018-04396;54;34;59;-110;28;15;;;;;;
2018-04427;54;34;58;-110;28;30;;;;;;
2018-04674;55;6;34.79;-118;45;39.26;;;;;;
2018-04887;54;57;38;-112;0;30;;;;;;
2018-05185;;;;;;;;;;;;
2018-05202;;;;;;;;;;;;
2018-05228;;;;;;;;;;;;
2018-05337;;;;;;;;;;;;
2018-05530;55;6;35.41;118;45;40.15;;;;;;
2021-35056;;;;;;;;;;;;
2021-35210;;;;;;;;;;;;
2021-35262;;;;;;;;;;;;
2021-35478;;;;;;;;;;;;
